qname,Preferred prefix,URI
nidm:NIDM_0000060,nidm_OneTailedTest,http://purl.org/nidash/nidm#NIDM_0000060
nidm:NIDM_0000061,nidm_ParameterEstimateMap,http://purl.org/nidash/nidm#NIDM_0000061
nidm:NIDM_0000062,nidm_Peak,http://purl.org/nidash/nidm#NIDM_0000062
nidm:NIDM_0000063,nidm_PeakDefinitionCriteria,http://purl.org/nidash/nidm#NIDM_0000063
nidm:NIDM_0000064,nidm_PixelConnectivityCriterion,http://purl.org/nidash/nidm#NIDM_0000064
nidm:NIDM_0000066,nidm_ResidualMeanSquaresMap,http://purl.org/nidash/nidm#NIDM_0000066
nidm:NIDM_0000067,nidm_CustomBasisSet,http://purl.org/nidash/nidm#NIDM_0000067
nidm:NIDM_0000068,nidm_SearchSpaceMaskMap,http://purl.org/nidash/nidm#NIDM_0000068
nidm:NIDM_0000069,nidm_FourierBasisSet,http://purl.org/nidash/nidm#NIDM_0000069
nidm:NIDM_0000070,nidm_SupraThresholdCluster,http://purl.org/nidash/nidm#NIDM_0000070
nidm:NIDM_0000071,nidm_ErrorParameterMapWiseDependence,http://purl.org/nidash/nidm#NIDM_0000071
nidm:NIDM_0000072,nidm_ConstantParameter,http://purl.org/nidash/nidm#NIDM_0000072
nidm:NIDM_0000073,nidm_IndependentParameter,http://purl.org/nidash/nidm#NIDM_0000073
nidm:NIDM_0000074,nidm_RegularizedParameter,http://purl.org/nidash/nidm#NIDM_0000074
nidm:NIDM_0000075,nidm_StandardizedCoordinateSystem,http://purl.org/nidash/nidm#NIDM_0000075
nidm:NIDM_0000076,nidm_StatisticMap,http://purl.org/nidash/nidm#NIDM_0000076
nidm:NIDM_0000077,nidm_SubjectCoordinateSystem,http://purl.org/nidash/nidm#NIDM_0000077
nidm:NIDM_0000078,nidm_TalairachCoordinateSystem,http://purl.org/nidash/nidm#NIDM_0000078
nidm:NIDM_0000079,nidm_TwoTailedTest,http://purl.org/nidash/nidm#NIDM_0000079
nidm:NIDM_0000080,nidm_VoxelConnectivityCriterion,http://purl.org/nidash/nidm#NIDM_0000080
nidm:NIDM_0000081,nidm_WorldCoordinateSystem,http://purl.org/nidash/nidm#NIDM_0000081
nidm:NIDM_0000082,nidm_clusterLabelId,http://purl.org/nidash/nidm#NIDM_0000082
nidm:NIDM_0000083,nidm_clusterSizeInVertices,http://purl.org/nidash/nidm#NIDM_0000083
nidm:NIDM_0000084,nidm_clusterSizeInVoxels,http://purl.org/nidash/nidm#NIDM_0000084
nidm:NIDM_0000085,nidm_contrastName,http://purl.org/nidash/nidm#NIDM_0000085
nidm:NIDM_0000086,nidm_coordinateVector,http://purl.org/nidash/nidm#NIDM_0000086
nidm:NIDM_0000087,nidm_DriftModel,http://purl.org/nidash/nidm#NIDM_0000087
nidm:NIDM_0000088,nidm_hasDriftModel,http://purl.org/nidash/nidm#NIDM_0000088
nidm:NIDM_0000089,nidm_dependenceMapWiseDependence,http://purl.org/nidash/nidm#NIDM_0000089
nidm:NIDM_0000090,nidm_dimensionsInVoxels,http://purl.org/nidash/nidm#NIDM_0000090
nidm:NIDM_0000091,nidm_effectDegreesOfFreedom,http://purl.org/nidash/nidm#NIDM_0000091
nidm:NIDM_0000092,nidm_equivalentZStatistic,http://purl.org/nidash/nidm#NIDM_0000092
nidm:NIDM_0000093,nidm_errorDegreesOfFreedom,http://purl.org/nidash/nidm#NIDM_0000093
nidm:NIDM_0000094,nidm_errorVarianceHomogeneous,http://purl.org/nidash/nidm#NIDM_0000094
nidm:NIDM_0000096,nidm_grandMeanScaling,http://purl.org/nidash/nidm#NIDM_0000096
nidm:NIDM_0000097,nidm_hasAlternativeHypothesis,http://purl.org/nidash/nidm#NIDM_0000097
nidm:NIDM_0000098,nidm_hasClusterLabelsMap,http://purl.org/nidash/nidm#NIDM_0000098
nidm:NIDM_0000099,nidm_hasConnectivityCriterion,http://purl.org/nidash/nidm#NIDM_0000099
nidm:NIDM_0000100,nidm_hasErrorDependence,http://purl.org/nidash/nidm#NIDM_0000100
nidm:NIDM_0000101,nidm_hasErrorDistribution,http://purl.org/nidash/nidm#NIDM_0000101
nidm:NIDM_0000102,nidm_hasHRFBasis,http://purl.org/nidash/nidm#NIDM_0000102
nidm:NIDM_0000103,nidm_hasMapHeader,http://purl.org/nidash/nidm#NIDM_0000103
nidm:NIDM_0000104,nidm_inCoordinateSpace,http://purl.org/nidash/nidm#NIDM_0000104
nidm:NIDM_0000105,nidm_inWorldCoordinateSystem,http://purl.org/nidash/nidm#NIDM_0000105
nidm:NIDM_0000106,nidm_isUserDefined,http://purl.org/nidash/nidm#NIDM_0000106
nidm:NIDM_0000107,nidm_maskedMedian,http://purl.org/nidash/nidm#NIDM_0000107
nidm:NIDM_0000108,nidm_maxNumberOfPeaksPerCluster,http://purl.org/nidash/nidm#NIDM_0000108
nidm:NIDM_0000109,nidm_minDistanceBetweenPeaks,http://purl.org/nidash/nidm#NIDM_0000109
nidm:NIDM_0000110,nidm_GaussianHRF,http://purl.org/nidash/nidm#NIDM_0000110
